iter	Passed	Remaining
0	166	166314
1	169	84612
2	171	56936
3	172	42971
4	174	34717
5	175	29111
6	178	25306
7	180	22357
8	181	20028
9	182	18110
10	183	16542
11	185	15234
12	186	14128
13	187	13198
14	188	12397
15	190	11708
16	191	11090
17	192	10521
18	193	10010
19	194	9549
20	195	9132
21	197	8759
22	198	8416
23	199	8103
24	200	7810
25	201	7538
26	203	7322
27	205	7122
28	206	6912
29	207	6714
30	209	6536
31	210	6365
32	211	6198
33	212	6041
34	213	5890
35	214	5749
36	215	5614
37	218	5518
38	219	5405
39	220	5289
40	221	5178
41	222	5079
42	223	4979
43	224	4883
44	225	4791
45	226	4703
46	227	4619
47	229	4544
48	230	4475
49	231	4402
50	232	4330
51	233	4261
52	234	4194
53	235	4129
54	236	4068
55	237	4008
56	238	3950
57	239	3897
58	241	3856
59	243	3816
60	244	3770
61	245	3720
62	246	3673
63	247	3626
64	248	3581
65	250	3538
66	251	3496
67	252	3455
68	253	3414
69	254	3376
70	255	3341
71	257	3313
72	258	3286
73	259	3252
74	260	3218
75	262	3185
76	262	3152
77	263	3119
78	264	3088
79	265	3057
80	266	3027
81	268	3002
82	268	2971
83	270	2944
84	271	2924
85	273	2903
86	274	2877
87	275	2852
88	276	2828
89	277	2803
90	278	2778
91	279	2755
92	280	2732
93	281	2711
94	282	2691
95	283	2670
96	284	2649
97	286	2637
98	287	2620
99	289	2601
100	290	2581
101	291	2562
102	291	2542
103	292	2523
104	293	2505
105	295	2494
106	296	2477
107	297	2460
108	298	2443
109	300	2430
110	302	2419
111	303	2407
112	304	2392
113	306	2379
114	307	2365
115	308	2350
116	309	2334
117	310	2320
118	311	2305
119	312	2290
120	313	2276
121	315	2267
122	316	2259
123	317	2246
124	318	2232
125	319	2219
126	320	2204
127	321	2191
128	322	2179
129	323	2167
130	324	2154
131	325	2142
132	326	2129
133	327	2119
134	329	2110
135	330	2101
136	331	2090
137	332	2079
138	333	2068
139	335	2057
140	336	2047
141	336	2034
142	337	2024
143	338	2014
144	339	2003
145	340	1993
146	342	1985
147	343	1976
148	344	1970
149	346	1962
150	347	1952
151	348	1942
152	349	1933
153	350	1924
154	351	1914
155	352	1905
156	353	1896
157	354	1887
158	355	1879
159	356	1871
160	357	1861
161	358	1855
162	360	1849
163	361	1841
164	362	1833
165	363	1825
166	364	1817
167	365	1809
168	366	1802
169	367	1796
170	369	1790
171	370	1783
172	372	1778
173	374	1775
174	375	1769
175	376	1764
176	378	1759
177	379	1752
178	380	1746
179	382	1744
180	384	1739
181	386	1735
182	388	1734
183	390	1733
184	392	1728
185	394	1724
186	396	1721
187	397	1717
188	399	1712
189	402	1715
190	404	1711
191	405	1707
192	407	1702
193	408	1697
194	409	1692
195	411	1688
196	413	1683
197	414	1678
198	415	1674
199	417	1670
200	418	1664
201	419	1657
202	420	1651
203	421	1645
204	422	1638
205	423	1632
206	424	1626
